team,conf,record,adj_em,adj_o,adj_o_rank,adj_d,adj_t
Northern Illinois,MAC,9-19,-16.40,97.4,347,113.8,67.1
Holy Cross,PL,10-21,-17.12,100.7,321,117.8,65.2
North Florida,ASun,7-24,-17.47,106.8,218,124.3,70.1
Fairleigh Dickinson,NEC,11-20,-17.49,101.2,314,118.7,63.6
Bucknell,PL,9-22,-17.66,98.3,342,115.9,66.8
Army,PL,11-20,-18.20,101.2,313,119.4,66.9
Stonehill,NEC,11-20,-18.37,91.7,363,110.1,66.0
Niagara,MAAC,8-22,-18.47,99.7,331,118.2,61.9
UTSA,Amer,5-24,-18.48,100.1,324,118.6,68.4
Southern Indiana,OVC,7-23,-18.54,95.7,353,114.2,67.3
North Alabama,ASun,9-20,-18.98,100.1,325,119.1,64.8
Alcorn St.,SWAC,7-21,-19.11,98.9,338,118.0,66.9
Canisius,MAAC,10-21,-19.15,95.3,355,114.4,64.0
Jackson St.,SWAC,9-20,-19.27,99.8,327,119.1,69.5
Maryland Eastern Shore,MEAC,9-21,-19.55,95.1,356,114.7,63.0
Air Force,MWC,3-26,-19.56,96.6,348,116.2,65.9
Maine,AE,8-22,-19.83,92.8,361,112.6,64.6
North Carolina Central,MEAC,12-16,-20.02,100.7,320,120.7,66.1
Chicago St.,NEC,7-24,-20.13,98.4,340,118.5,65.4
New Hampshire,AE,8-20,-20.60,94.6,358,115.2,67.4
Morgan St.,MEAC,13-15,-20.84,100.8,318,121.6,70.8
The Citadel,SC,10-21,-20.97,98.9,337,119.9,64.2
Louisiana Monroe,SB,4-27,-21.18,101.2,315,122.4,70.1
Saint Francis,NEC,7-24,-22.47,99.6,332,122.0,69.8
Bryant,AE,9-20,-22.51,96.5,349,119.0,64.3
Kansas City,Sum,4-26,-24.24,92.5,362,116.7,69.6
Rider,MAAC,4-25,-24.38,95.7,354,120.1,65.7
South Carolina St.,MEAC,8-21,-25.16,95.0,357,120.1,67.9
Binghamton,AE,8-23,-25.43,97.8,346,123.2,65.1
VMI,SC,6-25,-25.91,99.3,336,125.2,66.6
Gardner Webb,BSth,3-28,-27.18,96.1,351,123.2,69.4
Coppin St.,MEAC,7-23,-27.66,92.9,360,120.6,68.0
Delaware St.,MEAC,6-22,-27.91,87.8,365,115.7,65.8
Western Illinois,OVC,5-26,-28.56,92.9,359,121.5,66.4
Mississippi Valley St.,SWAC,3-27,-31.49,89.6,364,121.0,67.0
